story,subject,roi,r,p,lag,mean_r_shuffled,std_r_shuffled,z_score,TR,duration,onset
merlin,sub-149,"Temporal Fusiform Cortex, anterior division",0.3796,0.0,0,0.0026,0.0583,6.4626,1.5,886.0,33.5
merlin,sub-149,"Temporal Fusiform Cortex, posterior division",0.078,0.0582,0,0.0006,0.0716,1.082,1.5,886.0,33.5
merlin,sub-149,"Parahippocampal Gyrus, anterior division",0.0492,0.2329,0,0.0005,0.0734,0.6632,1.5,886.0,33.5
merlin,sub-149,"Parahippocampal Gyrus, posterior division",-0.034,0.4094,0,0.0019,0.0631,-0.5687,1.5,886.0,33.5
merlin,sub-149,"Cingulate Gyrus, anterior division",-0.0106,0.7973,6,-0.0032,0.0688,-0.1086,1.5,886.0,33.5
merlin,sub-149,"Cingulate Gyrus, posterior division",0.0062,0.8814,0,0.0007,0.0709,0.0769,1.5,886.0,33.5
merlin,sub-150,"Superior Temporal Gyrus, anterior division",-0.3982,0.0,0,0.002,0.0541,-7.3918,1.5,886.0,33.5
merlin,sub-150,"Superior Temporal Gyrus, posterior division",-0.4203,0.0,0,0.0003,0.0503,-8.3579,1.5,886.0,33.5
merlin,sub-150,"Middle Temporal Gyrus, anterior division",-0.3606,0.0,0,0.0012,0.0524,-6.899,1.5,886.0,33.5
merlin,sub-150,"Middle Temporal Gyrus, posterior division",-0.1719,0.0,0,0.0019,0.0614,-2.8308,1.5,886.0,33.5
merlin,sub-150,"Inferior Frontal Gyrus, pars triangularis",-0.2124,0.0,0,-0.0015,0.068,-3.1023,1.5,886.0,33.5
merlin,sub-150,"Inferior Frontal Gyrus, pars opercularis",0.3566,0.0,0,0.0001,0.0526,6.779,1.5,886.0,33.5
merlin,sub-150,Angular Gyrus,0.3673,0.0,0,-0.0031,0.0523,7.0856,1.5,886.0,33.5
merlin,sub-150,"Supramarginal Gyrus, anterior division",0.3419,0.0,0,0.0023,0.0548,6.1935,1.5,886.0,33.5
merlin,sub-150,"Supramarginal Gyrus, posterior division",0.3842,0.0,0,0.001,0.0528,7.2523,1.5,886.0,33.5
merlin,sub-150,Frontal Pole,-0.4129,0.0,0,0.0019,0.0541,-7.6704,1.5,886.0,33.5
merlin,sub-150,"Temporal Fusiform Cortex, anterior division",0.3491,0.0,6,0.0025,0.0546,6.3527,1.5,886.0,33.5
merlin,sub-150,"Temporal Fusiform Cortex, posterior division",0.1188,0.0041,6,0.0029,0.0648,1.7892,1.5,886.0,33.5
merlin,sub-150,"Parahippocampal Gyrus, anterior division",0.3278,0.0,6,0.0026,0.0562,5.788,1.5,886.0,33.5
merlin,sub-150,"Parahippocampal Gyrus, posterior division",-0.2135,0.0,0,-0.0013,0.0641,-3.3088,1.5,886.0,33.5
merlin,sub-150,"Cingulate Gyrus, anterior division",0.0518,0.2086,0,-0.0027,0.0652,0.8359,1.5,886.0,33.5
merlin,sub-150,"Cingulate Gyrus, posterior division",0.345,0.0,0,-0.0006,0.0578,5.9776,1.5,886.0,33.5
merlin,sub-151,"Superior Temporal Gyrus, anterior division",0.0576,0.162,0,-0.0034,0.0541,1.1278,1.5,886.0,33.5
merlin,sub-151,"Superior Temporal Gyrus, posterior division",0.3097,0.0,0,0.0006,0.0446,6.9257,1.5,886.0,33.5
merlin,sub-151,"Middle Temporal Gyrus, anterior division",0.254,0.0,4,0.0002,0.0455,5.5732,1.5,886.0,33.5
merlin,sub-151,"Middle Temporal Gyrus, posterior division",-0.3475,0.0,0,0.0021,0.0485,-7.2142,1.5,886.0,33.5
merlin,sub-151,"Inferior Frontal Gyrus, pars triangularis",0.2049,0.0,6,-0.0007,0.0648,3.1751,1.5,886.0,33.5
merlin,sub-151,"Inferior Frontal Gyrus, pars opercularis",-0.4746,0.0,0,0.001,0.061,-7.7937,1.5,886.0,33.5
merlin,sub-151,Angular Gyrus,-0.6717,0.0,0,0.0023,0.0471,-14.3129,1.5,886.0,33.5
merlin,sub-151,"Supramarginal Gyrus, anterior division",-0.6326,0.0,4,-0.0005,0.0485,-13.044,1.5,886.0,33.5
merlin,sub-151,"Supramarginal Gyrus, posterior division",-0.6727,0.0,1,0.0015,0.0478,-14.1006,1.5,886.0,33.5
merlin,sub-151,Frontal Pole,0.2831,0.0,5,-0.0011,0.0526,5.4046,1.5,886.0,33.5
merlin,sub-151,"Temporal Fusiform Cortex, anterior division",0.5577,0.0,4,0.0049,0.0559,9.883,1.5,886.0,33.5
merlin,sub-151,"Temporal Fusiform Cortex, posterior division",-0.0894,0.03,0,-0.001,0.0526,-1.6796,1.5,886.0,33.5
merlin,sub-151,"Parahippocampal Gyrus, anterior division",0.2737,0.0,6,0.0029,0.0655,4.1349,1.5,886.0,33.5
merlin,sub-151,"Parahippocampal Gyrus, posterior division",-0.3075,0.0,0,0.0005,0.0511,-6.0227,1.5,886.0,33.5
merlin,sub-151,"Cingulate Gyrus, anterior division",-0.1397,0.0007,6,-0.0011,0.0701,-1.9776,1.5,886.0,33.5
merlin,sub-151,"Cingulate Gyrus, posterior division",-0.6006,0.0,0,-0.001,0.0549,-10.9245,1.5,886.0,33.5
merlin,sub-152,"Superior Temporal Gyrus, anterior division",0.4884,0.0,6,-0.0023,0.0533,9.1988,1.5,886.0,33.5
merlin,sub-152,"Superior Temporal Gyrus, posterior division",0.5023,0.0,6,-0.0007,0.0489,10.2904,1.5,886.0,33.5
merlin,sub-152,"Middle Temporal Gyrus, anterior division",0.4818,0.0,6,0.0005,0.0503,9.5598,1.5,886.0,33.5
merlin,sub-152,"Middle Temporal Gyrus, posterior division",0.3327,0.0,6,-0.0007,0.0572,5.8277,1.5,886.0,33.5
merlin,sub-152,"Inferior Frontal Gyrus, pars triangularis",-0.1293,0.0016,0,-0.0006,0.0667,-1.9289,1.5,886.0,33.5
merlin,sub-152,"Inferior Frontal Gyrus, pars opercularis",-0.3385,0.0,6,0.0028,0.0572,-5.9727,1.5,886.0,33.5
merlin,sub-152,Angular Gyrus,-0.2435,0.0,6,0.0021,0.0633,-3.8834,1.5,886.0,33.5
merlin,sub-152,"Supramarginal Gyrus, anterior division",-0.1674,0.0,6,-0.0009,0.063,-2.6439,1.5,886.0,33.5
merlin,sub-152,"Supramarginal Gyrus, posterior division",-0.2672,0.0,6,0.0007,0.0622,-4.3052,1.5,886.0,33.5
merlin,sub-152,Frontal Pole,0.4987,0.0,6,-0.0005,0.0576,8.6661,1.5,886.0,33.5
merlin,sub-152,"Temporal Fusiform Cortex, anterior division",-0.242,0.0,0,-0.0012,0.0598,-4.025,1.5,886.0,33.5
merlin,sub-152,"Temporal Fusiform Cortex, posterior division",0.0552,0.1829,6,0.0001,0.0649,0.849,1.5,886.0,33.5
merlin,sub-152,"Parahippocampal Gyrus, anterior division",0.0851,0.0399,6,-0.001,0.0667,1.2902,1.5,886.0,33.5
merlin,sub-152,"Parahippocampal Gyrus, posterior division",0.1886,0.0,6,-0.0018,0.0636,2.9942,1.5,886.0,33.5
merlin,sub-152,"Cingulate Gyrus, anterior division",0.1084,0.0087,6,-0.0009,0.0619,1.7647,1.5,886.0,33.5
merlin,sub-152,"Cingulate Gyrus, posterior division",-0.0221,0.5916,0,-0.0001,0.062,-0.3557,1.5,886.0,33.5
merlin,sub-153,"Superior Temporal Gyrus, anterior division",0.0116,0.7806,6,-0.0028,0.0648,0.2217,1.5,886.0,33.5
merlin,sub-153,"Superior Temporal Gyrus, posterior division",0.1874,0.0,6,0.0004,0.0631,2.9652,1.5,886.0,33.5
merlin,sub-153,"Middle Temporal Gyrus, anterior division",0.1561,0.0002,6,0.0003,0.0629,2.4745,1.5,886.0,33.5
merlin,sub-153,"Middle Temporal Gyrus, posterior division",-0.0655,0.1121,0,0.0001,0.0683,-0.96,1.5,886.0,33.5
merlin,sub-153,"Inferior Frontal Gyrus, pars triangularis",-0.1763,0.0,0,0.0002,0.0638,-2.7664,1.5,886.0,33.5
merlin,sub-153,"Inferior Frontal Gyrus, pars opercularis",-0.2254,0.0,0,0.0003,0.0595,-3.7956,1.5,886.0,33.5
merlin,sub-153,Angular Gyrus,-0.2451,0.0,0,0.002,0.0575,-4.2967,1.5,886.0,33.5
merlin,sub-153,"Supramarginal Gyrus, anterior division",-0.214,0.0,0,-0.0,0.059,-3.6268,1.5,886.0,33.5
merlin,sub-153,"Supramarginal Gyrus, posterior division",-0.2331,0.0,0,0.0002,0.0576,-4.0502,1.5,886.0,33.5
merlin,sub-153,Frontal Pole,-0.0557,0.1763,0,0.0012,0.0667,-0.8537,1.5,886.0,33.5
merlin,sub-153,"Temporal Fusiform Cortex, anterior division",0.2221,0.0,6,0.0029,0.0578,3.7945,1.5,886.0,33.5
merlin,sub-153,"Temporal Fusiform Cortex, posterior division",-0.0193,0.6418,6,0.0009,0.066,-0.3064,1.5,886.0,33.5
merlin,sub-153,"Parahippocampal Gyrus, anterior division",0.0243,0.5572,5,-0.0011,0.0694,0.366,1.5,886.0,33.5
merlin,sub-153,"Parahippocampal Gyrus, posterior division",-0.1029,0.0129,6,-0.0042,0.0663,-1.4873,1.5,886.0,33.5
merlin,sub-153,"Cingulate Gyrus, anterior division",0.0104,0.8015,6,-0.0036,0.0643,0.2182,1.5,886.0,33.5
merlin,sub-153,"Cingulate Gyrus, posterior division",-0.1375,0.0008,0,-0.0006,0.0604,-2.2646,1.5,886.0,33.5
merlin,sub-154,"Superior Temporal Gyrus, anterior division",-0.1294,0.0016,0,-0.0009,0.0622,-2.0644,1.5,886.0,33.5
merlin,sub-154,"Superior Temporal Gyrus, posterior division",-0.1435,0.0005,0,-0.0018,0.0674,-2.1041,1.5,886.0,33.5
merlin,sub-154,"Middle Temporal Gyrus, anterior division",-0.0514,0.2129,0,0.0011,0.0591,-0.8869,1.5,886.0,33.5
merlin,sub-154,"Middle Temporal Gyrus, posterior division",-0.1907,0.0,0,-0.0015,0.068,-2.7816,1.5,886.0,33.5
merlin,sub-154,"Inferior Frontal Gyrus, pars triangularis",-0.0976,0.0177,0,-0.0017,0.0638,-1.5031,1.5,886.0,33.5
merlin,sub-154,"Inferior Frontal Gyrus, pars opercularis",0.0284,0.4924,5,0.0011,0.0658,0.415,1.5,886.0,33.5
merlin,sub-154,Angular Gyrus,-0.1238,0.0027,6,0.0008,0.0675,-1.8476,1.5,886.0,33.5
merlin,sub-154,"Supramarginal Gyrus, anterior division",-0.058,0.1614,6,0.002,0.0645,-0.9311,1.5,886.0,33.5
merlin,sub-154,"Supramarginal Gyrus, posterior division",-0.0817,0.0484,6,0.0023,0.0641,-1.3104,1.5,886.0,33.5
merlin,sub-154,Frontal Pole,-0.1815,0.0,0,0.002,0.0619,-2.9623,1.5,886.0,33.5
merlin,sub-154,"Temporal Fusiform Cortex, anterior division",0.0435,0.2935,6,0.0046,0.0682,0.5709,1.5,886.0,33.5
merlin,sub-154,"Temporal Fusiform Cortex, posterior division",-0.0199,0.6298,0,0.0008,0.0687,-0.3013,1.5,886.0,33.5
merlin,sub-154,"Parahippocampal Gyrus, anterior division",-0.1109,0.007,0,0.0009,0.0709,-1.5761,1.5,886.0,33.5
merlin,sub-154,"Parahippocampal Gyrus, posterior division",-0.1568,0.0001,6,0.0009,0.0672,-2.346,1.5,886.0,33.5
merlin,sub-154,"Cingulate Gyrus, anterior division",0.0123,0.7651,0,-0.0006,0.0671,0.192,1.5,886.0,33.5
merlin,sub-154,"Cingulate Gyrus, posterior division",-0.0202,0.6257,6,-0.0003,0.0674,-0.2956,1.5,886.0,33.5
notthefallintact,sub-317,"Superior Temporal Gyrus, anterior division",0.2067,0.0001,0,0.002,0.0678,3.0213,1.5,547.0,29.5
notthefallintact,sub-317,"Superior Temporal Gyrus, posterior division",0.1103,0.0355,0,-0.0005,0.068,1.6299,1.5,547.0,29.5
notthefallintact,sub-317,"Middle Temporal Gyrus, anterior division",0.1316,0.012,0,0.0018,0.0684,1.8971,1.5,547.0,29.5
notthefallintact,sub-317,"Middle Temporal Gyrus, posterior division",0.2666,0.0,0,-0.0031,0.0748,3.6056,1.5,547.0,29.5
notthefallintact,sub-317,"Inferior Frontal Gyrus, pars triangularis",0.4542,0.0,0,0.0012,0.073,6.2028,1.5,547.0,29.5
notthefallintact,sub-317,"Inferior Frontal Gyrus, pars opercularis",0.4091,0.0,6,0.0025,0.08,5.0838,1.5,547.0,29.5
notthefallintact,sub-317,Angular Gyrus,-0.1154,0.0277,0,0.0026,0.0736,-1.6038,1.5,547.0,29.5
notthefallintact,sub-317,"Supramarginal Gyrus, anterior division",0.4104,0.0,6,0.0025,0.0839,4.8612,1.5,547.0,29.5
notthefallintact,sub-317,"Supramarginal Gyrus, posterior division",0.3666,0.0,6,0.0046,0.0834,4.3395,1.5,547.0,29.5
notthefallintact,sub-317,Frontal Pole,0.3154,0.0,0,0.0019,0.069,4.5405,1.5,547.0,29.5
notthefallintact,sub-317,"Temporal Fusiform Cortex, anterior division",0.4399,0.0,0,-0.0004,0.0757,5.8166,1.5,547.0,29.5
notthefallintact,sub-317,"Temporal Fusiform Cortex, posterior division",0.2849,0.0,0,-0.0044,0.0818,3.5373,1.5,547.0,29.5
notthefallintact,sub-317,"Parahippocampal Gyrus, anterior division",0.432,0.0,0,0.0015,0.0728,5.9131,1.5,547.0,29.5
notthefallintact,sub-317,"Parahippocampal Gyrus, posterior division",0.3265,0.0,0,-0.0027,0.0806,4.0829,1.5,547.0,29.5
notthefallintact,sub-317,"Cingulate Gyrus, anterior division",0.4938,0.0,0,-0.003,0.077,6.4522,1.5,547.0,29.5
notthefallintact,sub-317,"Cingulate Gyrus, posterior division",0.3624,0.0,6,0.003,0.0812,4.425,1.5,547.0,29.5
notthefallintact,sub-318,"Superior Temporal Gyrus, anterior division",0.2908,0.0,0,0.0036,0.0773,3.7176,1.5,547.0,29.5
notthefallintact,sub-318,"Superior Temporal Gyrus, posterior division",0.3315,0.0,4,0.0011,0.0745,4.4353,1.5,547.0,29.5
notthefallintact,sub-318,"Middle Temporal Gyrus, anterior division",0.0837,0.1111,0,0.0009,0.081,1.0218,1.5,547.0,29.5
notthefallintact,sub-318,"Middle Temporal Gyrus, posterior division",0.0335,0.5238,0,-0.0003,0.0828,0.4089,1.5,547.0,29.5
notthefallintact,sub-318,"Inferior Frontal Gyrus, pars triangularis",0.4829,0.0,0,0.0002,0.0757,6.3772,1.5,547.0,29.5
notthefallintact,sub-318,"Inferior Frontal Gyrus, pars opercularis",0.6105,0.0,0,0.0028,0.0716,8.4825,1.5,547.0,29.5
notthefallintact,sub-318,Angular Gyrus,0.5284,0.0,0,0.0004,0.0753,7.0132,1.5,547.0,29.5
notthefallintact,sub-318,"Supramarginal Gyrus, anterior division",0.5551,0.0,0,0.0012,0.0724,7.6469,1.5,547.0,29.5
notthefallintact,sub-318,"Supramarginal Gyrus, posterior division",0.5444,0.0,0,0.002,0.0723,7.5009,1.5,547.0,29.5
notthefallintact,sub-318,Frontal Pole,0.5459,0.0,0,0.0028,0.0751,7.2302,1.5,547.0,29.5
notthefallintact,sub-318,"Temporal Fusiform Cortex, anterior division",-0.091,0.0856,6,0.0019,0.0829,-1.1204,1.5,547.0,29.5
notthefallintact,sub-318,"Temporal Fusiform Cortex, posterior division",0.0159,0.7619,0,-0.003,0.0828,0.2284,1.5,547.0,29.5
notthefallintact,sub-318,"Parahippocampal Gyrus, anterior division",0.3938,0.0,0,0.0015,0.0777,5.0453,1.5,547.0,29.5
notthefallintact,sub-318,"Parahippocampal Gyrus, posterior division",0.39,0.0,0,-0.0046,0.0776,5.0862,1.5,547.0,29.5
notthefallintact,sub-318,"Cingulate Gyrus, anterior division",0.4969,0.0,0,-0.0025,0.0719,6.948,1.5,547.0,29.5
notthefallintact,sub-318,"Cingulate Gyrus, posterior division",0.5179,0.0,0,-0.0024,0.073,7.1232,1.5,547.0,29.5
notthefallintact,sub-319,"Superior Temporal Gyrus, anterior division",0.4295,0.0,1,-0.0004,0.0775,5.5482,1.5,547.0,29.5
notthefallintact,sub-319,"Superior Temporal Gyrus, posterior division",0.1044,0.0465,0,-0.0005,0.0811,1.294,1.5,547.0,29.5
notthefallintact,sub-319,"Middle Temporal Gyrus, anterior division",0.3299,0.0,0,0.0008,0.0818,4.0232,1.5,547.0,29.5
notthefallintact,sub-319,"Middle Temporal Gyrus, posterior division",0.4615,0.0,0,-0.0013,0.0738,6.2732,1.5,547.0,29.5
notthefallintact,sub-319,"Inferior Frontal Gyrus, pars triangularis",0.4586,0.0,0,0.0019,0.0771,5.926,1.5,547.0,29.5
notthefallintact,sub-319,"Inferior Frontal Gyrus, pars opercularis",0.5072,0.0,0,0.0043,0.0744,6.7581,1.5,547.0,29.5
notthefallintact,sub-319,Angular Gyrus,0.3987,0.0,1,0.0018,0.0707,5.6132,1.5,547.0,29.5
notthefallintact,sub-319,"Supramarginal Gyrus, anterior division",0.4891,0.0,0,0.0024,0.0702,6.9312,1.5,547.0,29.5
notthefallintact,sub-319,"Supramarginal Gyrus, posterior division",0.4774,0.0,0,0.0037,0.0683,6.9371,1.5,547.0,29.5
notthefallintact,sub-319,Frontal Pole,0.1936,0.0002,0,0.0035,0.0849,2.2379,1.5,547.0,29.5
notthefallintact,sub-319,"Temporal Fusiform Cortex, anterior division",0.4652,0.0,2,0.0007,0.0815,5.6964,1.5,547.0,29.5
notthefallintact,sub-319,"Temporal Fusiform Cortex, posterior division",0.3402,0.0,2,-0.0017,0.0786,4.3509,1.5,547.0,29.5
notthefallintact,sub-319,"Parahippocampal Gyrus, anterior division",0.4629,0.0,1,0.0004,0.0799,5.7865,1.5,547.0,29.5
notthefallintact,sub-319,"Parahippocampal Gyrus, posterior division",0.379,0.0,2,0.0009,0.079,4.7893,1.5,547.0,29.5
notthefallintact,sub-319,"Cingulate Gyrus, anterior division",0.4027,0.0,1,-0.0026,0.0769,5.2694,1.5,547.0,29.5
notthefallintact,sub-319,"Cingulate Gyrus, posterior division",0.4146,0.0,1,-0.0006,0.074,5.6079,1.5,547.0,29.5
notthefallintact,sub-320,"Superior Temporal Gyrus, anterior division",0.2318,0.0,2,-0.0005,0.084,2.7658,1.5,547.0,29.5
notthefallintact,sub-320,"Superior Temporal Gyrus, posterior division",-0.5349,0.0,0,-0.0005,0.0757,-7.0565,1.5,547.0,29.5
notthefallintact,sub-320,"Middle Temporal Gyrus, anterior division",-0.4805,0.0,0,0.0001,0.079,-6.08,1.5,547.0,29.5
notthefallintact,sub-320,"Middle Temporal Gyrus, posterior division",0.077,0.1459,6,0.0011,0.0795,0.9545,1.5,547.0,29.5
notthefallintact,sub-320,"Inferior Frontal Gyrus, pars triangularis",0.4716,0.0,0,-0.0003,0.0769,6.1357,1.5,547.0,29.5
notthefallintact,sub-320,"Inferior Frontal Gyrus, pars opercularis",0.4994,0.0,0,0.002,0.072,6.9123,1.5,547.0,29.5
notthefallintact,sub-320,Angular Gyrus,0.1917,0.0002,0,-0.0003,0.0798,2.4056,1.5,547.0,29.5
notthefallintact,sub-320,"Supramarginal Gyrus, anterior division",0.4206,0.0,0,0.001,0.0745,5.6338,1.5,547.0,29.5
notthefallintact,sub-320,"Supramarginal Gyrus, posterior division",0.3818,0.0,0,0.0005,0.073,5.2268,1.5,547.0,29.5
notthefallintact,sub-320,Frontal Pole,0.1522,0.0036,0,-0.0003,0.0905,1.6851,1.5,547.0,29.5
notthefallintact,sub-320,"Temporal Fusiform Cortex, anterior division",-0.0733,0.1628,0,0.002,0.0841,-0.8963,1.5,547.0,29.5
notthefallintact,sub-320,"Temporal Fusiform Cortex, posterior division",0.1765,0.0007,0,-0.0032,0.082,2.1933,1.5,547.0,29.5
notthefallintact,sub-320,"Parahippocampal Gyrus, anterior division",0.3617,0.0,0,0.0009,0.0802,4.5008,1.5,547.0,29.5
notthefallintact,sub-320,"Parahippocampal Gyrus, posterior division",0.1707,0.0011,0,-0.0048,0.0831,2.1103,1.5,547.0,29.5
notthefallintact,sub-320,"Cingulate Gyrus, anterior division",0.2834,0.0,0,-0.0018,0.0816,3.4964,1.5,547.0,29.5
notthefallintact,sub-320,"Cingulate Gyrus, posterior division",0.2922,0.0,0,-0.0013,0.0775,3.7877,1.5,547.0,29.5
notthefallintact,sub-321,"Superior Temporal Gyrus, anterior division",0.2934,0.0,0,0.0036,0.0711,4.0773,1.5,547.0,29.5
notthefallintact,sub-321,"Superior Temporal Gyrus, posterior division",0.3745,0.0,0,-0.0002,0.0696,5.3834,1.5,547.0,29.5
notthefallintact,sub-321,"Middle Temporal Gyrus, anterior division",0.2932,0.0,0,0.0014,0.0772,3.7793,1.5,547.0,29.5
notthefallintact,sub-321,"Middle Temporal Gyrus, posterior division",0.0851,0.1048,0,0.0006,0.0758,1.1152,1.5,547.0,29.5
notthefallintact,sub-321,"Inferior Frontal Gyrus, pars triangularis",0.4171,0.0,0,0.0016,0.0767,5.4182,1.5,547.0,29.5
notthefallintact,sub-321,"Inferior Frontal Gyrus, pars opercularis",0.4806,0.0,0,0.003,0.0732,6.5274,1.5,547.0,29.5
notthefallintact,sub-321,Angular Gyrus,0.3266,0.0,6,0.0008,0.0788,4.133,1.5,547.0,29.5
notthefallintact,sub-321,"Supramarginal Gyrus, anterior division",0.4859,0.0,6,0.0021,0.0727,6.6598,1.5,547.0,29.5
notthefallintact,sub-321,"Supramarginal Gyrus, posterior division",0.4417,0.0,6,0.0046,0.0743,5.885,1.5,547.0,29.5
notthefallintact,sub-321,Frontal Pole,-0.1897,0.0003,6,-0.0008,0.0742,-2.5465,1.5,547.0,29.5
notthefallintact,sub-321,"Temporal Fusiform Cortex, anterior division",0.2711,0.0,0,0.0,0.0713,3.8,1.5,547.0,29.5
notthefallintact,sub-321,"Temporal Fusiform Cortex, posterior division",0.3101,0.0,0,0.0007,0.0755,4.1002,1.5,547.0,29.5
notthefallintact,sub-321,"Parahippocampal Gyrus, anterior division",0.4472,0.0,0,-0.0001,0.0696,6.4257,1.5,547.0,29.5
notthefallintact,sub-321,"Parahippocampal Gyrus, posterior division",0.295,0.0,0,-0.0008,0.0748,3.9553,1.5,547.0,29.5
notthefallintact,sub-321,"Cingulate Gyrus, anterior division",0.5266,0.0,0,-0.0018,0.0706,7.4904,1.5,547.0,29.5
notthefallintact,sub-321,"Cingulate Gyrus, posterior division",0.542,0.0,6,-0.0015,0.0718,7.5709,1.5,547.0,29.5
notthefallintact,sub-322,"Superior Temporal Gyrus, anterior division",0.3736,0.0,6,0.0013,0.081,4.5931,1.5,547.0,29.5
notthefallintact,sub-322,"Superior Temporal Gyrus, posterior division",0.3029,0.0,6,-0.0015,0.0668,4.5567,1.5,547.0,29.5
notthefallintact,sub-322,"Middle Temporal Gyrus, anterior division",0.3152,0.0,6,0.0008,0.0638,4.9282,1.5,547.0,29.5
notthefallintact,sub-322,"Middle Temporal Gyrus, posterior division",0.2768,0.0,6,-0.0049,0.0866,3.255,1.5,547.0,29.5
notthefallintact,sub-322,"Inferior Frontal Gyrus, pars triangularis",0.2326,0.0,6,-0.001,0.0913,2.5583,1.5,547.0,29.5
notthefallintact,sub-322,"Inferior Frontal Gyrus, pars opercularis",0.0175,0.7418,6,-0.0014,0.0879,0.2145,1.5,547.0,29.5
notthefallintact,sub-322,Angular Gyrus,-0.0659,0.2133,6,-0.0032,0.0834,-0.7529,1.5,547.0,29.5
notthefallintact,sub-322,"Supramarginal Gyrus, anterior division",-0.0203,0.6992,0,-0.0005,0.0901,-0.2197,1.5,547.0,29.5
notthefallintact,sub-322,"Supramarginal Gyrus, posterior division",-0.0304,0.5631,0,-0.0017,0.0905,-0.3173,1.5,547.0,29.5
notthefallintact,sub-322,Frontal Pole,0.2862,0.0,6,0.0037,0.0766,3.6869,1.5,547.0,29.5
notthefallintact,sub-322,"Temporal Fusiform Cortex, anterior division",0.1194,0.0227,0,-0.0004,0.0655,1.8286,1.5,547.0,29.5
notthefallintact,sub-322,"Temporal Fusiform Cortex, posterior division",0.1757,0.0008,0,-0.0041,0.0845,2.1283,1.5,547.0,29.5
notthefallintact,sub-322,"Parahippocampal Gyrus, anterior division",0.1435,0.0061,0,0.0007,0.0832,1.7168,1.5,547.0,29.5
notthefallintact,sub-322,"Parahippocampal Gyrus, posterior division",0.1788,0.0006,0,-0.0094,0.0946,1.99,1.5,547.0,29.5
notthefallintact,sub-322,"Cingulate Gyrus, anterior division",0.1882,0.0003,0,-0.0079,0.0944,2.0772,1.5,547.0,29.5
notthefallintact,sub-322,"Cingulate Gyrus, posterior division",0.0778,0.142,6,-0.0073,0.0948,0.8973,1.5,547.0,29.5
notthefallintact,sub-323,"Superior Temporal Gyrus, anterior division",0.4206,0.0,6,0.0004,0.0845,4.971,1.5,547.0,29.5
notthefallintact,sub-323,"Superior Temporal Gyrus, posterior division",0.5789,0.0,4,-0.0017,0.0757,7.6726,1.5,547.0,29.5
notthefallintact,sub-323,"Middle Temporal Gyrus, anterior division",0.5472,0.0,4,0.0007,0.0761,7.1783,1.5,547.0,29.5
notthefallintact,sub-323,"Middle Temporal Gyrus, posterior division",0.5598,0.0,0,-0.0015,0.073,7.6899,1.5,547.0,29.5
notthefallintact,sub-323,"Inferior Frontal Gyrus, pars triangularis",0.1859,0.0004,4,0.0011,0.0863,2.1411,1.5,547.0,29.5
notthefallintact,sub-323,"Inferior Frontal Gyrus, pars opercularis",0.1529,0.0037,6,0.0044,0.0858,1.7316,1.5,547.0,29.5
notthefallintact,sub-323,Angular Gyrus,0.6495,0.0,2,0.0007,0.0773,8.3937,1.5,547.0,29.5
notthefallintact,sub-323,"Supramarginal Gyrus, anterior division",0.5104,0.0,6,-0.0006,0.0787,6.4952,1.5,547.0,29.5
notthefallintact,sub-323,"Supramarginal Gyrus, posterior division",0.5408,0.0,3,0.0001,0.0786,6.8788,1.5,547.0,29.5
notthefallintact,sub-323,Frontal Pole,0.2985,0.0,5,0.0037,0.0807,3.655,1.5,547.0,29.5
notthefallintact,sub-323,"Temporal Fusiform Cortex, anterior division",0.2199,0.0,1,-0.0005,0.0794,2.777,1.5,547.0,29.5
notthefallintact,sub-323,"Temporal Fusiform Cortex, posterior division",0.4734,0.0,0,-0.0003,0.0775,6.1144,1.5,547.0,29.5
notthefallintact,sub-323,"Parahippocampal Gyrus, anterior division",0.4449,0.0,1,0.0007,0.078,5.6973,1.5,547.0,29.5
notthefallintact,sub-323,"Parahippocampal Gyrus, posterior division",0.487,0.0,0,-0.0046,0.0786,6.2558,1.5,547.0,29.5
notthefallintact,sub-323,"Cingulate Gyrus, anterior division",0.4818,0.0,0,-0.0025,0.0822,5.8934,1.5,547.0,29.5
notthefallintact,sub-323,"Cingulate Gyrus, posterior division",0.5511,0.0,0,0.001,0.0801,6.8664,1.5,547.0,29.5
notthefallintact,sub-324,"Superior Temporal Gyrus, anterior division",0.407,0.0,2,0.0041,0.0804,5.0122,1.5,547.0,29.5
notthefallintact,sub-324,"Superior Temporal Gyrus, posterior division",0.6363,0.0,6,0.0023,0.0746,8.4994,1.5,547.0,29.5
notthefallintact,sub-324,"Middle Temporal Gyrus, anterior division",0.6662,0.0,5,0.0004,0.0766,8.6951,1.5,547.0,29.5
notthefallintact,sub-324,"Middle Temporal Gyrus, posterior division",0.3578,0.0,0,-0.0011,0.0851,4.2204,1.5,547.0,29.5
notthefallintact,sub-324,"Inferior Frontal Gyrus, pars triangularis",0.2446,0.0,0,0.0026,0.0849,2.8491,1.5,547.0,29.5
notthefallintact,sub-324,"Inferior Frontal Gyrus, pars opercularis",-0.3275,0.0,6,-0.0011,0.0766,-4.2602,1.5,547.0,29.5
notthefallintact,sub-324,Angular Gyrus,-0.4551,0.0,6,-0.0018,0.0764,-5.9355,1.5,547.0,29.5
notthefallintact,sub-324,"Supramarginal Gyrus, anterior division",-0.2146,0.0,6,0.0003,0.0788,-2.7276,1.5,547.0,29.5
