motion_metric,n,pearson_r,pearson_p,spearman_rho,spearman_p
mean_fd,408,0.07607315997310884,0.12500213381761294,0.10366991993627979,0.03632699488424432
max_fd,408,-0.10241453813718235,0.03866209540417962,0.07201688698884152,0.14647579129781352
pct_fd_gt_0_5,408,0.05398608865500544,0.27663331839495897,0.05055765336047926,0.30832973773757416
pct_fd_gt_0_9,408,-0.005177065090403577,0.9169698001964798,0.014385994147186694,0.7720409307718471
