comparison,model,baseline,n,mean,median,std,sem,ci95_low,ci95_high,t_stat,p_ttest_two_sided,wilcoxon_stat,p_wilcoxon_greater
combined_pc1_to_pc5 - baseline_only,combined_pc1_to_pc5,baseline_only,6936,0.015122936999320758,0.0059731424418045485,0.10801411795131861,0.0012969582058702319,0.012557215080824835,0.01767006837342261,11.660311743949825,3.962934991922948e-31,13924481.0,3.044220636008831e-30
combined_pc1 - baseline_only,combined_pc1,baseline_only,6936,0.007488958384885533,0.0004214743698922954,0.06142005004629706,0.0007374891303413438,0.006090942031711074,0.009008877006625072,10.154669508714386,4.6510455345695434e-24,13228430.0,3.156671350277661e-13
gpt2_pc1_to_pc5 - baseline_only,gpt2_pc1_to_pc5,baseline_only,6936,-0.002733620520892991,-0.0035485381732594454,0.133980448042692,0.0016087437902650421,-0.005865619341427085,0.0005164618853688051,-1.699226773980352,0.08932131263160933,11608766.0,0.9941051775962131
gpt2_pc1 - baseline_only,gpt2_pc1,baseline_only,6936,-0.03642102910904297,-0.0183558357079449,0.155537702588553,0.0018675882701309863,-0.04004549376248319,-0.03275765107089017,-19.501637320997162,1.6715858664739217e-82,8986273.0,1.0
