,count,mean,std,min,25%,50%,75%,max
mean_fd,412.0,0.13082556837073683,0.05274040677955733,0.0482682636816558,0.09779745875655121,0.11883577388914901,0.15273758766700055,0.660497104445
max_fd,412.0,0.752289513677511,0.7437358251883432,0.1474409999999999,0.3158133225,0.501726365,0.8403497875000001,5.8755042
pct_fd_gt_0_5,412.0,0.011376792699606994,0.030393235714581246,0.0,0.0,0.0008710801393728,0.0097087378640776,0.445
pct_fd_gt_0_9,412.0,0.0032059762207848055,0.012793389912326533,0.0,0.0,0.0,0.0,0.2075
