model,cv_r_mean,cv_r_median,cv_r_std,cv_r_sem,cv_r_count,cv_r2_mean,cv_r2_median,cv_r2_std,cv_r2_sem,cv_r2_count
combined_pc1_to_pc5,0.02535662678059212,0.02157899569875405,0.13621646334439627,0.0016355923027465656,6936,-7.395110821161445,-2.3053386308173636,15.152949800903516,0.1819460544618704,6936
combined_pc1,0.01772264816615689,0.0145179372526808,0.13436017823309976,0.001613303325590674,6936,-4.673855205710817,-1.2724711054453437,11.063848481712654,0.1328469773120705,6936
baseline_only,0.010233689781271359,0.0070243203961625495,0.13663464214526885,0.0016406135021749325,6936,-3.3560642179858937,-1.006205030432925,8.835134228665115,0.10608613073150866,6936
gpt2_pc1_to_pc5,0.00750006926037837,0.00376465297581445,0.13669014789103298,0.0016412799764637302,6936,-4.882443084756922,-1.3734161118677668,12.105064860444168,0.14534917750677975,6936
gpt2_pc1,-0.02618733932777161,-0.0259644735964857,0.13655972280719925,0.0016397139230075913,6936,-2.234800147073148,-0.40016405968638746,8.182931369284871,0.09825493360275489,6936
