subject,mean_delta_cv_r
sub-016,0.06667145484625703
sub-023,0.11625508011005468
sub-030,-0.028861627118631796
sub-032,-0.03733139835332124
sub-034,0.1040127879301568
sub-038,0.11143549857819054
sub-049,-0.045806558806047955
sub-052,-0.023162371972401882
sub-058,-0.061935493003606915
sub-065,0.0023563965787090292
sub-066,-0.07068828335436082
sub-079,0.0330576435606539
sub-081,0.21058517351532602
sub-083,0.012025592318980191
sub-084,-0.019460967635753598
sub-086,-0.17941900763443636
sub-087,-0.10738848714272216
sub-088,0.03500271546730253
sub-089,0.005387411121469893
sub-090,-0.08012877137413668
sub-091,-0.03524409602361142
sub-093,0.026935677350393848
sub-095,0.008779408987868192
sub-096,0.02425529706267036
sub-097,0.09528894985959731
sub-098,-0.010891277148667246
sub-099,0.014034231062022081
sub-100,0.05640318551100697
sub-101,-0.21792436532041767
sub-102,0.0758922409421391
sub-103,-0.15307475502321075
sub-104,-0.0033712300517646197
sub-105,-0.1342334337377157
sub-106,0.05700478905520269
sub-107,-0.07711408941463387
sub-108,-0.3495152346888741
sub-109,-0.20265062203633064
sub-110,-0.15539459976557612
sub-111,0.02436021348498165
sub-112,0.23246740474876337
sub-113,-0.06277493737746441
sub-114,0.15040433193550803
sub-115,0.05628909592980904
sub-116,-0.12386613270713008
sub-117,-0.023546756122082763
sub-118,0.17773149578464786
sub-119,0.0726244048449551
sub-120,0.03472307601701195
sub-121,0.007558312390718998
sub-122,-0.05608085565825893
sub-123,-0.13908571992540672
sub-124,-0.04211216329493043
sub-125,-0.04643696162618161
sub-126,0.0003432986774781651
sub-127,0.001877051694151229
sub-128,-0.1659777333200068
sub-129,-0.08264041072278064
sub-130,0.05187011307996357
sub-131,-0.09575931533304637
sub-132,-0.007828297390018734
sub-133,-0.01978441669055905
sub-134,0.0450345904905741
sub-135,0.027575047479993293
sub-136,-0.02488886660916584
sub-137,0.01648119785393984
sub-139,0.02270851337000371
sub-140,0.06025680224141925
sub-141,0.09539098745816957
sub-142,-0.09637382418452783
sub-143,-0.04135868775697152
sub-144,0.0004884325803557613
sub-145,-0.02877850994534915
sub-181,0.0046555343150560735
sub-186,-0.031699146639927116
sub-190,-0.0027062647588043647
sub-191,-0.0037470676636536075
sub-195,0.09980537789132005
sub-199,-0.004608443407968516
sub-200,0.01175213621821096
sub-201,-0.009423543456220748
sub-206,-0.011076249925199181
sub-207,0.05213069408493452
sub-208,-0.03089131085642185
sub-209,0.02253992857974659
sub-210,0.023419902147330772
sub-211,-0.008321018508289976
sub-212,0.017036258302394684
sub-213,-0.013752503880795925
sub-214,-0.007534141681973931
sub-215,0.025959582018544
sub-216,0.026181716510800594
sub-217,0.02991104613771486
sub-218,0.009948332295486447
sub-219,-0.006684093131895994
sub-220,-0.008952950930635042
sub-221,-0.025150835776125462
sub-222,0.015881167034027612
sub-223,0.008715371395891932
sub-224,0.047026118803777876
sub-225,0.014039078320829668
sub-226,0.031929033881956975
sub-227,-0.007127739536778469
sub-228,0.008612870489256337
sub-229,0.02662950341696915
sub-230,0.061422749713457035
sub-231,-0.014707597269868544
sub-232,-0.022141700912977534
sub-233,-0.07064305539122606
sub-234,-0.016262469993670408
sub-235,0.04892245714340052
sub-236,0.012337787940197286
sub-237,0.0010122024037363866
sub-238,0.009545435008893868
sub-239,0.0007751684908547883
sub-240,0.020724374237101464
sub-241,0.029269970415628854
sub-242,-0.00980308804385816
sub-243,-0.03186741286624462
sub-244,-0.025734092648499178
sub-245,-0.015332828527622378
sub-246,-0.0061385185439890855
sub-247,0.0658705202965295
sub-248,0.011958288683069217
sub-249,0.05097581982607233
sub-250,-0.03685541485530558
sub-251,-0.027071959077080356
sub-252,-0.017798997707957835
sub-253,0.012550987202305904
sub-265,0.02408463528330284
sub-267,0.07096864524819019
sub-268,-0.07432471170139208
sub-272,0.029504760176542674
sub-273,0.010268729950386137
sub-274,0.04454172042088093
sub-275,0.033070776389085906
sub-276,0.040910908665145754
sub-277,0.03615200840977652
sub-278,0.0864170784565453
sub-279,0.0453294281961564
sub-280,0.037892270353420555
sub-281,0.08705942709737408
sub-282,0.06508421722391272
sub-283,-0.009501727785845534
sub-284,0.010834819161211637
sub-285,-0.02660818237992232
sub-286,-0.011623924697575543
sub-287,0.038823720407321634
sub-288,0.04663089701805762
sub-289,-0.023049594341579927
sub-290,0.040998133354421866
sub-291,0.07107880446061313
sub-292,0.05152172084676537
sub-293,0.04157066907629065
sub-294,0.11801337083181809
sub-295,0.037790358042909054
sub-296,0.046865017747795744
sub-297,-0.0028647083075237483
sub-298,0.01805465187953173
sub-299,0.0020027173231263046
sub-300,0.041731027921725415
sub-301,0.014779757728125963
sub-302,0.028473539757230576
sub-303,0.03248484479389028
sub-304,0.05967082891589864
sub-305,0.00577809977652239
sub-306,0.01866472765252453
sub-307,0.0259727841747234
sub-308,-0.04534442246364029
sub-309,0.02194563252872315
sub-310,0.04116614111960799
sub-311,0.02858597978124725
sub-312,0.04445226900582477
sub-313,0.10050085964658943
sub-314,0.046551716318017376
sub-315,0.03168572939917475
sub-316,-0.04211476427535189
sub-317,-0.037638928877357994
sub-318,0.06041634493430159
sub-319,-0.005547532006436628
sub-320,0.05094020950489237
sub-321,0.05848713918890977
sub-322,-0.12251566802091705
sub-323,-0.07828874906159633
sub-324,0.06779210438081783
sub-325,-0.023228185898729384
sub-326,0.02932716515375003
sub-327,-0.02536157771274183
sub-328,-0.007261051127071797
sub-329,-0.05286722490910663
sub-330,-0.025761062269905332
sub-331,0.0721003508343824
sub-332,0.0414854521150314
sub-333,-0.00170617906508063
sub-335,-0.0478933949398485
sub-336,0.17754921020510203
sub-337,-0.011999414371064979
sub-338,0.07203044722163172
sub-339,-0.03353962104745338
sub-340,0.05221036418943447
sub-341,-0.008851913862743052
sub-342,0.05589966210227147
sub-343,0.058837286273808166
sub-344,0.013697170212953105
sub-345,0.012186684569709557
